"Screen_Tech","Star Rating Index","screensize (inch)"
"LCD (LED)",3.188182682,84.56023622047243
"LCD (LED)",3.194834431,64.52637795275591
"LCD (LED)",3.201314628,64.5259842519685
"LCD (LED)",3.242460913,64.4996062992126
"LCD (LED)",3.244278479,49.5003937007874
"LCD (LED)",3.25280175,49.49803149606299
"LCD (LED)",3.254797646,74.51771653543307
"LCD (LED)",3.256589786,54.64488188976378
"LCD (LED)",3.26207588,54.61062992125985
"LCD (LED)",3.292779584,74.54251968503937
"LCD (LED)",3.302333486,54.63897637795275
"LCD (LED)",3.305888151,74.52992125984252
"LCD (LED)",3.318738466,64.5259842519685
"LCD (LED)",3.319238269,49.5003937007874
"LCD (LED)",3.320996249,85.6011811023622
"LCD (LED)",3.34617085,74.52992125984252
"LCD (LED)",3.35153765,49.4988188976378
"LCD (LED)",3.38681893,74.52992125984252
"LCD (LED)",3.387596177,84.5027559055118
"LCD (LED)",3.410356923,54.64488188976378
"LCD (LED)",3.412005761,84.56023622047243
"LCD (LED)",3.425384562,54.61062992125985
"LCD (LED)",3.428140504,84.56023622047243
"LCD (LED)",3.43364006,64.51889763779526
"LCD (LED)",3.440057636,74.54251968503937
"LCD (LED)",3.468328056,42.514566929133856
"LCD (LED)",3.482108338,49.49803149606299
"LCD (LED)",3.484217149,49.5003937007874
"LCD (LED)",3.5008157,99.65984251968504
"LCD (LED)",3.501849741,85.63700787401575
"LCD (LED)",3.503335779,54.64488188976378
"LCD (LED)",3.505583928,84.7751968503937
"LCD (LED)",3.505583979,84.56023622047243
"LCD (LED)",3.506680455,49.5003937007874
"LCD (LED)",3.509326206,54.61062992125985
"LCD (LED)",3.513803821,54.63897637795275
"LCD (LED)",3.513814322,84.56023622047243
"LCD (LED)",3.514641825,64.5259842519685
"LCD (LED)",3.515845663,49.49803149606299
"LCD (LED)",3.515873628,97.51771653543307
"LCD (LED)",3.519965293,54.61456692913386
"LCD (LED)",3.525501428,49.474409448818896
"LCD (LED)",3.527294961,42.514566929133856
"LCD (LED)",3.536097167,74.51771653543307
"LCD (LED)",3.540587957,49.5003937007874
"LCD (LED)",3.542347757,64.5259842519685
"LCD (LED)",3.550101645,97.51496062992125
"LCD (LED)",3.551039068,84.56023622047243
"LCD (LED)",3.560063374,54.64488188976378
"LCD (LED)",3.563516348,84.56023622047243
"LCD (LED)",3.57065135,54.63897637795275
"LCD (LED)",3.573069144,64.4996062992126
"LCD (LED)",3.584230493,64.5259842519685
"LCD (LED)",3.589761913,54.63897637795275
"LCD (LED)",3.591249163,64.5259842519685
"LCD (LED)",3.591861934,49.463779527559055
"LCD (LED)",3.592691414,31.511417322834646
"LCD (LED)",3.598284673,54.64488188976378
"LCD (LED)",3.60789115,54.64488188976378
"LCD (LED)",3.615280634,64.4996062992126
"LCD (LED)",3.620537173,64.51889763779526
"LCD (LED)",3.6438775,49.5003937007874
"LCD (LED)",3.648900686,64.51889763779526
"LCD (LED)",3.659072987,42.5
"LCD (LED)",3.660417785,74.52992125984252
"LCD (LED)",3.673105632,74.54330708661418
"LCD (LED)",3.676782513,54.63897637795275
"LCD (LED)",3.684744432,49.463779527559055
"LCD (LED)",3.685955602,84.56023622047243
"LCD (LED)",3.693572453,42.514566929133856
"LCD (LED)",3.70230623,49.5003937007874
"LCD (LED)",3.705378975,49.47874015748032
"LCD (LED)",3.71408395,49.5003937007874
"LCD (LED)",3.724804393,54.64488188976378
"LCD (LED)",3.733461271,39.96456692913386
"LCD (LED)",3.736207768,42.5
"LCD (LED)",3.741947163,84.56023622047243
"LCD (LED)",3.748076719,74.52992125984252
"LCD (LED)",3.75560002,42.514566929133856
"LCD (LED)",3.762321959,49.50433070866141
"LCD (LED)",3.764463236,54.64488188976378
"LCD (LED)",3.767437303,42.5
"LCD (LED)",3.772085806,74.54330708661418
"LCD (LED)",3.773441376,49.5003937007874
"LCD (LED)",3.783409187,97.48188976377953
"LCD (LED)",3.802690682,42.514566929133856
"LCD (LED)",3.831486759,49.49803149606299
"LCD (LED)",3.833595569,49.5003937007874
"LCD (LED)",3.856063224,54.63897637795275
"LCD (LED)",3.858069176,23.548818897637794
"LCD (LED)",3.858938212,64.52637795275591
"LCD (LED)",3.865173545,54.64488188976378
"LCD (LED)",3.865794335,74.52992125984252
"LCD (LED)",3.882828552,84.56023622047243
"LCD (LED)",3.887411391,74.51732283464567
"LCD (LED)",3.89056594,69.50314960629922
"LCD (LED)",3.89618865,74.54251968503937
"LCD (LED)",3.896896492,54.63897637795275
"LCD (LED)",3.92089516,97.51496062992125
"LCD (LED)",3.926398194,23.807086614173226
"LCD (LED)",3.930739968,42.514566929133856
"LCD (LED)",3.93392569,97.51614173228346
"LCD (LED)",3.936381028,74.54251968503937
"LCD (LED)",3.942869668,64.51889763779526
"LCD (LED)",3.965231394,74.54330708661418
"LCD (LED)",3.967965127,54.59291338582677
"LCD (LED)",3.979717724,42.514566929133856
"LCD (LED)",3.98231926,84.56023622047243
"LCD (LED)",4.000637701,54.63897637795275
"LCD (LED)",4.004949068,74.53543307086613
"LCD (LED)",4.005242175,84.56023622047243
"LCD (LED)",4.008929259,74.51732283464567
"LCD (LED)",4.009840862,84.56023622047243
"LCD (LED)",4.010608191,64.52637795275591
"LCD (LED)",4.011014699,97.51771653543307
"LCD (LED)",4.011145139,54.63897637795275
"LCD (LED)",4.0165182,64.48464566929134
"LCD (LED)",4.017199657,54.61062992125985
"LCD (LED)",4.018328124,64.52637795275591
"LCD (LED)",4.01837412,64.5259842519685
"LCD (LED)",4.019676217,74.3992125984252
"LCD (LED)",4.021677271,54.63897637795275
"LCD (LED)",4.021953721,64.4996062992126
"LCD (LED)",4.023797902,60.10354330708662
"LCD (LED)",4.024438874,23.83543307086614
"LCD (LED)",4.025599758,57.42716535433071
"LCD (LED)",4.025976491,23.551968503937008
"LCD (LED)",4.026107375,64.5259842519685
"LCD (LED)",4.027756599,54.61062992125985
"LCD (LED)",4.028282946,84.56023622047243
"LCD (LED)",4.029236683,42.514566929133856
"LCD (LED)",4.032113232,74.51417322834645
"LCD (LED)",4.032732298,76.84133858267717
"LCD (LED)",4.03290535,84.56023622047243
"LCD (LED)",4.035437845,74.54330708661418
"LCD (LED)",4.038563985,49.463779527559055
"LCD (LED)",4.04206066,42.5
"LCD (LED)",4.042270124,49.49803149606299
"LCD (LED)",4.042493036,69.50314960629922
"LCD (LED)",4.042599711,69.50275590551182
"LCD (LED)",4.042816085,54.63897637795275
"LCD (LED)",4.044164846,49.4988188976378
"LCD (LED)",4.044535376,49.50236220472441
"LCD (LED)",4.045233878,64.4996062992126
"LCD (LED)",4.045865348,42.514566929133856
"LCD (LED)",4.04593029,42.51417322834646
"LCD (LED)",4.046337416,31.54763779527559
"LCD (LED)",4.047440239,74.51496062992126
