"Avg_mode_power","screensize (inch)"
90.42,64.5259842519685
90.5,54.64488188976378
90.7,54.61062992125985
91,49.49803149606299
91,49.5003937007874
91,54.63897637795275
91.26,54.63897637795275
91.4,49.463779527559055
91.4,64.5259842519685
91.5,49.5003937007874
91.6,54.64488188976378
91.7,64.52637795275591
91.788,54.63897637795275
91.8,49.5003937007874
91.87,64.50905511811024
92,42.5
92,42.514566929133856
92,49.49803149606299
92,49.4988188976378
92,54.61062992125985
92,54.63897637795275
92,64.5259842519685
92.076,64.5259842519685
92.1,54.63897637795275
92.2,54.64488188976378
92.3,54.63897637795275
92.33,54.63897637795275
92.33,64.5259842519685
92.39,64.5259842519685
92.66,64.5259842519685
92.78,54.63897637795275
92.8,49.49803149606299
92.8,54.63897637795275
92.8,56.49409448818898
92.9,64.5259842519685
92.9,64.52637795275591
93,49.4988188976378
93,49.50236220472441
93,64.44173228346456
93.012,64.5259842519685
93.1,54.63897637795275
93.12,49.50433070866141
93.2,54.63897637795275
93.25,64.52637795275591
93.324,54.64488188976378
93.43,64.5259842519685
93.528,64.5259842519685
93.6,49.49803149606299
93.65,64.51456692913385
93.8,49.49803149606299
93.82,49.5003937007874
94,49.4988188976378
94,54.63897637795275
94,57.49566929133858
94,64.4996062992126
94.01,49.5003937007874
94.1,64.5259842519685
94.12,57.50708661417323
94.14,64.5259842519685
94.2,64.4996062992126
94.22,54.64488188976378
94.36,64.52637795275591
94.37,49.5003937007874
94.374,64.5259842519685
94.43,54.64488188976378
94.45,64.52637795275591
94.65,64.2251968503937
94.65,64.4996062992126
94.8,54.61062992125985
94.96,54.64488188976378
95,49.4988188976378
95,54.61062992125985
95,54.63897637795275
95,54.65275590551182
95,54.67952755905512
95,64.52637795275591
95.06,74.54330708661418
95.2,49.47874015748032
95.274,64.5259842519685
95.8,64.52637795275591
95.92,64.94527559055119
96,49.49803149606299
96,49.4988188976378
96,49.5003937007874
96,49.50236220472441
96,54.63897637795275
96,54.65275590551182
96.06,54.63897637795275
96.1,54.63897637795275
96.3,64.51889763779526
96.3,64.52637795275591
96.5,54.64488188976378
96.56,49.49803149606299
96.612,49.463779527559055
96.66,54.61062992125985
96.71,54.54645669291339
96.9,64.52637795275591
97,54.63897637795275
97,54.64488188976378
97.1,64.5259842519685
97.2,74.52992125984252
97.36,54.64488188976378
97.68,49.5003937007874
97.7,64.52637795275591
97.8,54.61062992125985
97.8,69.50590551181102
97.96,54.64488188976378
98,54.63897637795275
98,54.65275590551182
98,64.52637795275591
98,64.55314960629921
98.268,54.63897637795275
98.27,54.63897637795275
98.45,54.63897637795275
98.826,74.52992125984252
98.85,57.50354330708661
98.85,57.50708661417323
98.86,64.5259842519685
99,42.5
99,42.514566929133856
99,54.63897637795275
99,54.65275590551182
99,64.4996062992126
99.1,49.49803149606299
99.18,69.50275590551182
99.2,54.63897637795275
99.42,49.5003937007874
99.5,54.64488188976378
99.7,74.52992125984252
99.75,69.51574803149606
99.95,64.5259842519685
100,50.08858267716535
100,54.63897637795275
100,54.64488188976378
100,64.52637795275591
100.2,54.64488188976378
100.2,69.5244094488189
100.24,54.63897637795275
100.3,74.54330708661418
100.64,64.5259842519685
100.68,64.52637795275591
100.78,64.5259842519685
100.8,64.5259842519685
100.9,54.64488188976378
101,54.63897637795275
101.1,74.52992125984252
101.23,49.5003937007874
101.3,64.4996062992126
101.3,64.51889763779526
101.358,64.5259842519685
101.4,54.64488188976378
101.54,65.09133858267717
101.9,76.66850393700787
101.98,49.6503937007874
102,54.492913385826775
102,54.63897637795275
102,54.64488188976378
102,60.10275590551181
102.1,54.61062992125985
102.2,49.5003937007874
102.3,54.64488188976378
102.3,64.5259842519685
102.36,49.31141732283465
102.546,74.52992125984252
102.6,74.52992125984252
102.7,54.63897637795275
102.9,57.50354330708661
102.9,64.48464566929134
102.9,64.51889763779526
103,54.63897637795275
103,54.65275590551182
103,64.52637795275591
103.3,54.548818897637794
103.3,55.204330708661416
103.48,54.63897637795275
103.5,64.4996062992126
103.59,74.54330708661418
103.6,54.64488188976378
103.61,54.63897637795275
103.7,54.64488188976378
103.99,69.50275590551182
104,49.463779527559055
104,54.63897637795275
104,60.10354330708662
104,64.4996062992126
104.2,64.4996062992126
104.46,49.474409448818896
104.68002,64.5259842519685
104.7,74.52992125984252
104.78,69.51574803149606
104.8,54.64488188976378
104.9,54.63897637795275
104.9,69.5035433070866
104.99,64.5259842519685
105,54.62047244094488
105,64.52637795275591
105,74.51771653543307
105.156,57.50708661417323
105.39,64.5259842519685
105.43,64.5259842519685
105.46,54.63897637795275
105.58,64.5259842519685
105.7,64.4996062992126
105.75,64.87480314960631
105.8,57.42716535433071
105.84,64.4996062992126
105.9,54.63897637795275
105.96,64.4996062992126
106,54.61062992125985
106,54.63897637795275
106,54.65275590551182
106,64.5259842519685
106,64.52637795275591
106,74.51771653543307
106.02,54.73307086614173
106.02,69.51574803149606
106.2,57.51653543307087
106.46,54.63897637795275
106.5,57.531496062992126
106.6,64.4996062992126
106.68,54.59291338582677
106.68,74.52992125984252
106.97,74.51692913385827
107,54.63897637795275
107,54.64488188976378
107,54.65275590551182
107,64.52637795275591
107.18,74.53582677165355
107.27,64.5259842519685
107.4,64.4996062992126
107.4,69.5244094488189
107.54,64.5259842519685
107.58,65.30866141732282
107.6,64.2744094488189
107.6,64.52637795275591
107.8,42.514566929133856
107.8,76.43267716535433
108,49.49803149606299
108,54.63897637795275
108.02,69.50314960629922
108.1,74.49566929133857
